ENGLISH TIME - A2 DEYİMLER LİSTESİ (30 Deyim)
====================================================

No   | English                              | Türkçe
-----|--------------------------------------|-----------------------------------------------
1    | A piece of cake                      | Çok kolay, çocuk oyuncağı
2    | Break a leg                          | İyi şanslar (Genelde bir sınav veya gösteri öncesi söylenir)
3    | Under the weather                    | Hafif hasta hissetmek, keyifsiz olmak
4    | Once in a blue moon                  | Ayda yılda bir, çok nadir
5    | Call it a day                        | Bugünlük bu kadar yeter, paydos etmek
6    | So far, so good                      | Şu ana kadar her şey yolunda
7    | Time flies                           | Zaman su gibi akıp geçiyor
8    | Better late than never               | Geç olsun güç olmasın
9    | Keep an eye on                       | Göz kulak olmak, dikkat etmek
10   | Out of the blue                      | Durup dururken, aniden
11   | Cost an arm and a leg                | Çok pahalı olmak, ateş pahası
12   | Bite the bullet                      | İstemediğin ama mecburi olan bir duruma katlanmak, dişini sıkmak
13   | Spill the beans                      | Ağzındaki baklayı çıkarmak, sırrı vermek
14   | Hit the sack / Hit the bed           | Kafayı vurup yatmak, uyumaya gitmek
15   | Raining cats and dogs                | Bardaktan boşanırcasına yağmur yağması
16   | Pull someone's leg                   | Biriyle kafa bulmak, işletmek
17   | Miss the boat                        | Fırsatı kaçırmak
18   | To be on the same page               | Aynı fikirde olmak, aynı noktada buluşmak
19   | Let the cat out of the bag           | Sırrı yanlışlıkla ağzından kaçırmak
20   | Beat around the bush                 | Lafı dolandırmak, sadede gelmemek
21   | No pain, no gain                     | Emek olmadan yemek olmaz, zahmetsiz rahmet olmaz
22   | Rule of thumb                        | Genel kural, deneyimlere dayanan pratik kural
23   | Give a hand                          | Yardım eli uzatmak, yardım etmek
24   | Hold your horses                     | Acele etme, sabırlı ol
25   | In the same boat                     | Aynı gemide olmak, aynı zor durumu paylaşmak
26   | Make up your mind                    | Karar vermek
27   | Take it easy                         | Sakin ol, kafana takma
28   | Catch someone red-handed             | Birini suç işlerken suçüstü yakalamak
29   | See eye to eye                       | Biriyle tamamen aynı görüşte olmak
30   | Add fuel to the fire                 | Yangına körükle gitmek
